id,resource,concept,timestamp,role,permitId,requestedAmount,permitOrganizationalEntity,permitRequestedBudget,adjustedAmount,processTime,tripTime,TotalDeclared,RequestedAmount,Overspent,Overspent_Amount,Overspent_bool,boolProcessDelay
rv_travel permit 22054_7,STAFF MEMBER,End trip,2017-12-13 00:00:00+01:00,EMPLOYEE,22054,1452.2772317974625,65460,1423.8404746614474,1452.2772317974625,63.0,6.0,1452.2772317974625,"1,040",False,-83.7852249113921,0,1
st_step 39267_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2018-05-16 11:50:00+02:00,EMPLOYEE,39256,833.1255251381328,65456,334.3663698745583,833.1255251381328,23.0,1.0,833.1255251381328,678,True,157.28623483433773,1,0
st_step 4968_0,STAFF MEMBER,Declaration REJECTED by EMPLOYEE,2018-05-23 10:43:38+02:00,EMPLOYEE,4955,328.41709425103966,65458,1137.1556566582342,328.41709425103966,94.0,2.0,328.41709425103966,283,False,-1064.164224127927,0,1
st_step 42059_0,STAFF MEMBER,Permit APPROVED by BUDGET OWNER,2018-01-29 08:46:00+01:00,BUDGET OWNER,42052,1161.6709868563892,65460,1175.5948665154715,1161.6709868563892,30.0,5.0,1161.6709868563892,"1,241",True,272.3982733079848,1,0
st_step 45916_0,STAFF MEMBER,Declaration APPROVED by BUDGET OWNER,2018-05-03 12:02:08+02:00,BUDGET OWNER,45908,783.3282946320945,65472,1226.1828930359366,783.3282946320945,31.0,8.0,783.3282946320945,"1,486",False,-112.80770864822898,0,0
st_step 44392_0,STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018-04-23 08:58:20+02:00,ADMINISTRATION,44385,999.415627956375,65456,835.5065602976434,999.415627956375,59.0,1.0,999.415627956375,"1,155",True,346.1179663918182,1,0
st_step 40134_0,STAFF MEMBER,Permit APPROVED by BUDGET OWNER,2018-06-06 09:15:12+02:00,BUDGET OWNER,40127,3144.121852074311,65456,3224.81725290005,3144.121852074311,59.0,9.0,3144.121852074311,"2,429",False,-674.3876018652595,0,0
fd_declaration 901_18,SYSTEM,Payment Handled,2018-03-19 17:30:54+01:00,UNDEFINED,897,672.0776175416586,65455,1033.0004098635554,672.0776175416586,55.0,2.0,672.0776175416586,814,False,-112.28815231654244,0,0
st_step 23607_0,STAFF MEMBER,Declaration APPROVED by ADMINISTRATION,2018-06-08 22:06:23+02:00,ADMINISTRATION,23596,1034.7738481619915,65456,2270.7265158016235,1034.7738481619915,147.0,5.0,1034.7738481619915,"1,434",False,-155.8655168779569,0,1
st_step 83283_0,STAFF MEMBER,Permit APPROVED by SUPERVISOR,2017-07-20 12:00:43+02:00,SUPERVISOR,83278,1008.3284511055406,65458,1351.6467172996522,1008.3284511055406,74.0,10.0,1008.3284511055406,"1,492",False,-343.31826619411163,0,1
st_step 17170_0,STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018-04-26 17:50:40+02:00,ADMINISTRATION,17164,710.9462558733566,65458,930.570050499231,710.9462558733566,55.0,7.0,710.9462558733566,544,False,-595.9402438938431,0,0
st_step 31026_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018-03-22 10:59:57+01:00,EMPLOYEE,31020,381.7182999258004,65464,1282.7703622214983,381.7182999258004,70.0,4.0,381.7182999258004,549,False,-591.6981297574794,0,1
rv_travel permit 61774_7,STAFF MEMBER,End trip,2018-07-17 00:00:00+02:00,EMPLOYEE,61774,29.477529177865545,65458,64.7230516844904,29.477529177865545,32.0,0.0,29.477529177865545,34,False,-57.22108605115076,0,0
st_step 33766_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018-09-27 16:46:43+02:00,EMPLOYEE,33760,347.47563524142424,65455,464.2701224323101,347.47563524142424,81.0,4.0,347.47563524142424,283,False,-82.26454968613228,0,1
st_step 59043_0,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018-09-07 14:29:02+02:00,SUPERVISOR,59036,129.2042529290958,65458,1909.9841240223025,129.2042529290958,20.0,3.0,263.4164226383891,258,False,-412.65234268827487,0,0
fd_declaration 26181_18,SYSTEM,Payment Handled,2018-05-17 17:31:34+02:00,UNDEFINED,26179,1857.308266283316,65455,1722.680613382831,1857.308266283316,27.0,6.0,1857.308266283316,"1,376",False,-167.37371004297324,0,0
st_step 66868_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2018-10-16 09:12:05+02:00,SUPERVISOR,66859,267.8223875399909,65459,208.58923493213132,267.8223875399909,98.0,5.0,267.8223875399909,219,False,-136.84493204330607,0,1
st_step 52855_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018-06-14 10:54:59+02:00,EMPLOYEE,52851,598.3619184841244,65454,325.78878335642435,598.3619184841244,168.0,12.0,598.3619184841244,660,True,9.066089674001889,1,1
st_step 68150_0,STAFF MEMBER,Permit APPROVED by BUDGET OWNER,2018-03-27 14:04:36+02:00,BUDGET OWNER,68145,1252.2238966711907,65472,648.1547594641421,1252.2238966711907,93.0,3.0,1252.2238966711907,"1,064",True,16.47663021935773,1,1
rv_travel permit 56178_7,STAFF MEMBER,End trip,2018-09-27 00:00:00+02:00,EMPLOYEE,56178,1241.2909169471975,65456,508.3100429935774,1241.2909169471975,105.0,5.0,1241.2909169471975,888,True,123.010811589362,1,1
st_step 52200_0,STAFF MEMBER,Declaration APPROVED by ADMINISTRATION,2018-11-15 10:30:41+01:00,ADMINISTRATION,52192,531.9834373068124,65456,321.9487802083127,531.9834373068124,50.0,1.0,531.9834373068124,417,True,21.687574182771755,1,0
st_step 19377_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2018-10-16 08:24:23+02:00,SUPERVISOR,19368,957.7157958707312,65456,1409.579483031193,957.7157958707312,65.0,5.0,957.7157958707312,"1,574",True,45.02602852251209,1,1
st_step 23664_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2018-04-09 16:59:49+02:00,SUPERVISOR,23653,732.3417094492713,65458,776.1909391658346,732.3417094492713,69.0,3.0,732.3417094492713,664,True,125.7333657789411,1,1
st_step 20218_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2018-08-03 16:01:17+02:00,EMPLOYEE,20211,3217.111932214317,65460,2111.743861559572,3217.111932214317,68.0,7.0,3217.111932214317,"2,829",False,-80.74052569360765,0,1
st_step 29328_0,STAFF MEMBER,Declaration REJECTED by EMPLOYEE,2018-06-26 12:51:30+02:00,EMPLOYEE,29315,2186.015025263732,65456,3050.908398162612,2186.015025263732,81.0,6.0,2186.015025263732,"2,074",False,-1186.81432904868,0,1
st_step 5864_0,STAFF MEMBER,Declaration REJECTED by ADMINISTRATION,2018-06-21 10:12:58+02:00,ADMINISTRATION,5853,1976.392963826596,65459,1427.8709097425767,1976.392963826596,125.0,12.0,1976.392963826596,"1,601",False,-616.0025539971714,0,1
rv_travel permit 14790_7,STAFF MEMBER,End trip,2018-02-28 00:00:00+01:00,EMPLOYEE,14790,518.5191250249013,65457,929.780727309702,518.5191250249013,108.0,82.0,518.5191250249013,930,False,-39.02832123843348,0,1
st_step 83028_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2018-03-02 14:43:42+01:00,SUPERVISOR,83021,956.9666314762252,65458,2761.9231306677348,956.9666314762252,236.0,6.0,956.9666314762252,"1,745",False,-249.5242506141448,0,1
rv_travel permit 69359_7,STAFF MEMBER,End trip,2018-07-28 00:00:00+02:00,EMPLOYEE,69359,2310.084891854636,65459,1712.5896767089064,2310.084891854636,150.0,7.0,2310.084891854636,"2,765",True,388.4952892269096,1,1
st_step 19229_0,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018-06-28 14:17:57+02:00,SUPERVISOR,19224,193.4217845528145,65456,238.7878909974674,193.4217845528145,18.0,1.0,193.4217845528145,171,False,0.0,0,0
st_step 6796_0,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018-01-23 10:01:08+01:00,SUPERVISOR,6788,146.95443463385826,65457,919.6613959288064,146.95443463385826,83.0,5.0,146.95443463385826,275,False,-283.2212740216178,0,1
st_step 22892_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018-01-30 23:39:31+01:00,EMPLOYEE,22887,1134.4855492941365,65458,1672.4745787142415,1134.4855492941365,29.0,7.0,1134.4855492941365,"1,123",False,-178.81027802765993,0,0
st_step 45849_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2018-05-17 08:54:36+02:00,SUPERVISOR,45841,897.2130902850702,65460,1452.5363741703577,897.2130902850702,34.0,6.0,897.2130902850702,763,False,-278.68873184477275,0,0
fd_declaration 12830_17,SYSTEM,Request Payment,2018-11-07 16:02:59+01:00,UNDEFINED,12827,523.1029488775475,65464,603.7441221870363,523.1029488775475,86.0,3.0,523.1029488775475,"1,027",True,31.579730117242377,1,1
st_step 20619_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2018-08-21 14:04:23+02:00,SUPERVISOR,20612,2149.527569810887,65458,1588.5898322354758,2149.527569810887,72.0,6.0,2149.527569810887,"1,641",True,145.39766011517895,1,1
rv_travel permit 83745_7,STAFF MEMBER,End trip,2017-07-30 00:00:00+02:00,EMPLOYEE,83745,900.1660174271591,65458,730.4283758102914,900.1660174271591,162.0,4.0,900.1660174271591,"1,294",True,169.73764161686768,1,1
fd_declaration 59291_18,SYSTEM,Payment Handled,2018-10-18 17:31:17+02:00,UNDEFINED,59289,772.9149216235747,65459,1828.14031772203,772.9149216235747,80.0,7.0,772.9149216235747,"1,181",False,-961.3988313844465,0,1
st_step 28703_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2018-09-19 09:05:08+02:00,SUPERVISOR,28696,2766.22004809536,65456,2714.984720186076,2766.22004809536,105.0,8.0,2766.22004809536,"2,222",True,369.7422836563105,1,1
st_step 1455_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018-03-03 11:42:25+01:00,EMPLOYEE,1444,1730.5259796997586,65466,998.7971433024863,1730.5259796997586,128.0,7.0,1730.5259796997586,"1,307",True,9.2683105263186,1,1
st_step 40715_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018-03-26 16:49:06+02:00,EMPLOYEE,40711,3103.331437481606,65459,2229.9405380100284,3103.331437481606,94.0,10.0,3103.331437481606,"2,324",True,446.0037435967543,1,1
st_step 82456_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-06-19 10:21:41+02:00,EMPLOYEE,82450,902.9000071561676,65458,878.5703662447739,902.9000071561676,29.0,3.0,902.9000071561676,"1,336",True,24.329640911393767,1,0
rv_travel permit 64545_7,STAFF MEMBER,End trip,2018-07-03 00:00:00+02:00,EMPLOYEE,64545,3032.907743011983,65454,2881.297546060126,3032.907743011983,57.0,2.0,3032.907743011983,"2,038",True,156.25874043977365,1,0
rv_travel permit 81358_7,STAFF MEMBER,End trip,2017-07-07 00:00:00+02:00,EMPLOYEE,81358,360.353849434131,65455,317.3472730955813,360.353849434131,40.0,3.0,360.353849434131,433,False,-55.75914067456529,0,0
st_step 61808_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2018-07-23 14:43:54+02:00,SUPERVISOR,61799,22.80350060818102,65458,431.0005290667002,22.80350060818102,34.0,6.0,22.80350060818102,32,False,-333.5011963946474,0,0
st_step 56016_0,STAFF MEMBER,Declaration APPROVED by ADMINISTRATION,2018-11-02 10:33:19+01:00,ADMINISTRATION,56008,202.34223650335588,65469,473.98648496394526,202.34223650335588,44.0,0.0,202.34223650335588,179,False,-306.3393636447455,0,0
fd_declaration 2098_18,SYSTEM,Payment Handled,2018-05-14 17:31:22+02:00,UNDEFINED,2096,1915.5694430752096,65458,1605.387947331844,1915.5694430752096,69.0,7.0,1915.5694430752096,"1,818",False,-823.9688143480826,0,1
st_step 52844_0,STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018-06-13 11:07:00+02:00,ADMINISTRATION,52839,32.06249057814549,65460,17.36895990601433,32.06249057814549,57.0,0.0,32.06249057814549,25,False,0.0,0,0
rv_travel permit 39151_27,SYSTEM,Send Reminder,2018-05-01 06:00:17+02:00,UNDEFINED,39151,1004.208084012802,65459,1097.5187423798156,1004.208084012802,87.0,4.0,1004.208084012802,677,False,-373.79680527507537,0,1
fd_declaration 49805_18,SYSTEM,Payment Handled,2018-05-28 17:30:59+02:00,UNDEFINED,49803,61.2268213771856,65458,322.24642830097685,61.2268213771856,40.0,1.0,61.2268213771856,76,False,-261.01960692379123,0,0
st_step 83133_0,STAFF MEMBER,Permit FINAL_APPROVED by DIRECTOR,2017-07-14 16:26:25+02:00,DIRECTOR,83127,1728.8520878347408,65458,2577.9714264078148,1728.8520878347408,59.0,7.0,1728.8520878347408,"2,146",False,-849.119338573074,0,0
st_step 24350_0,STAFF MEMBER,Declaration APPROVED by ADMINISTRATION,2018-12-03 11:56:01+01:00,ADMINISTRATION,24342,204.2692088727181,65461,244.22175735424892,204.2692088727181,38.0,1.0,204.2692088727181,341,False,-65.29426324670465,0,0
st_step 24718_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2018-05-31 10:21:24+02:00,SUPERVISOR,24711,548.5581729352675,65456,1077.583205324648,548.5581729352675,62.0,3.0,548.5581729352675,620,False,-376.0277798346592,0,1
rv_travel permit 53914_7,STAFF MEMBER,End trip,2018-05-27 00:00:00+02:00,EMPLOYEE,53914,1973.5780460687824,65456,1865.1658672097049,1973.5780460687824,43.0,6.0,1973.5780460687824,"2,413",True,624.0530663698637,1,0
st_step 61188_0,STAFF MEMBER,Permit APPROVED by BUDGET OWNER,2018-06-28 14:15:35+02:00,BUDGET OWNER,61182,582.4172618847641,65456,1614.4916639253,582.4172618847641,742.0,742.0,582.4172618847641,"1,132",False,-189.3370604007007,0,1
rv_travel permit 34484_7,STAFF MEMBER,End trip,2018-07-17 00:00:00+02:00,EMPLOYEE,34484,197.3825474294809,65466,660.1188643249106,197.3825474294809,309.0,215.0,197.3825474294809,311,False,-246.8868519294794,0,1
st_step 79299_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2017-11-14 11:30:44+01:00,EMPLOYEE,79295,201.9581736857744,65458,261.6038519245782,201.9581736857744,342.0,5.0,201.9581736857744,386,False,-59.64567823880381,0,1
st_step 65525_0,STAFF MEMBER,Declaration APPROVED by ADMINISTRATION,2018-08-15 13:59:06+02:00,ADMINISTRATION,65517,467.3600045323472,65458,367.9074674278485,467.3600045323472,73.0,2.0,467.3600045323472,417,True,75.09141559632434,1,1
fd_declaration 75767_18,SYSTEM,Payment Handled,2017-09-18 17:30:55+02:00,UNDEFINED,75765,2446.244381921118,65458,2352.158059539536,2446.244381921118,167.0,9.0,2446.244381921118,"2,600",False,-4.139497248320822,0,1
fd_declaration 70680_18,SYSTEM,Payment Handled,2018-12-13 17:31:08+01:00,UNDEFINED,70678,1869.747875334429,65455,1489.3198168103777,1869.747875334429,98.0,5.0,3016.628744221258,"1,464",False,-176.2467259536552,0,1
st_step 47600_0,STAFF MEMBER,Permit APPROVED by BUDGET OWNER,2018-11-07 15:44:20+01:00,BUDGET OWNER,47593,41.38827478139316,65458,45.676260236854006,41.38827478139316,9.0,0.0,41.38827478139316,32,False,-62.08241217208974,0,0
st_step 32945_0,STAFF MEMBER,Permit APPROVED by BUDGET OWNER,2018-05-29 10:14:51+02:00,BUDGET OWNER,32940,487.0222469723256,65455,284.53796137460847,487.0222469723256,66.0,5.0,487.0222469723256,766,True,143.69063683517695,1,1
fd_declaration 35387_18,SYSTEM,Payment Handled,2018-11-12 17:30:46+01:00,UNDEFINED,35385,495.2386406330604,65461,397.9865462406846,495.2386406330604,56.0,4.0,495.2386406330604,506,False,-140.93747875723466,0,0
st_step 11874_0,STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018-11-27 10:38:05+01:00,ADMINISTRATION,11869,72.35880471683475,65458,97.65804916238032,72.35880471683475,9.0,1.0,72.35880471683475,73,False,-26.762845580199155,0,0
st_step 82279_0,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2017-09-28 13:25:05+02:00,SUPERVISOR,82275,52.49145822574302,65458,52.91937103311767,52.49145822574302,11.0,0.0,52.49145822574302,57,False,-39.598819363279816,0,0
st_step 71911_0,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018-07-16 09:11:23+02:00,SUPERVISOR,71907,3293.3593134483817,65455,2427.374492866302,3293.3593134483817,62.0,5.0,3293.3593134483817,"2,693",True,865.9848205820799,1,1
fd_declaration 2847_17,SYSTEM,Request Payment,2018-02-28 18:04:25+01:00,UNDEFINED,2845,142.89926792821257,65454,129.0262227306705,142.89926792821257,32.0,0.0,142.89926792821257,176,True,73.34402245918004,1,0
rv_travel permit 8653_6,STAFF MEMBER,Start trip,2018-04-08 00:00:00+02:00,EMPLOYEE,8653,823.0944792047364,65456,1339.6124177600943,823.0944792047364,56.0,5.0,1279.6375503369636,750,False,-366.5514080725093,0,0
fd_declaration 53749_17,SYSTEM,Request Payment,2018-04-24 10:26:06+02:00,UNDEFINED,53747,329.97462111430247,65454,332.7000541800037,329.97462111430247,21.0,2.0,329.97462111430247,531,True,19.26405509330204,1,0
st_step 31689_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2018-04-19 12:43:35+02:00,EMPLOYEE,31682,985.3996113262068,65471,452.2975960158605,985.3996113262068,85.0,3.0,985.3996113262068,"1,160",True,390.7619148362545,1,1
st_step 83444_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2017-09-12 15:56:57+02:00,EMPLOYEE,83438,818.8759233486377,65458,1084.0803809481542,818.8759233486377,51.0,5.0,818.8759233486377,918,False,-407.6539182683306,0,0
st_step 37045_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2018-05-15 14:54:51+02:00,SUPERVISOR,37037,19.94068150267375,65458,323.615258422452,19.94068150267375,51.0,1.0,19.94068150267375,23,False,-413.5523946424078,0,0
st_step 51921_0,STAFF MEMBER,Declaration REJECTED by EMPLOYEE,2018-06-15 10:50:14+02:00,EMPLOYEE,51907,57.170744147864085,65454,133.0800216720015,57.170744147864085,38.0,0.0,57.170744147864085,92,False,-67.11348226053609,0,0
st_step 69747_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2018-09-19 10:38:41+02:00,EMPLOYEE,69738,1829.2540379727727,65456,1152.7929345018931,1829.2540379727727,35.0,4.0,1829.2540379727727,"1,653",False,-74.14399306967675,0,0
fd_declaration 53749_18,SYSTEM,Payment Handled,2018-04-26 17:30:55+02:00,UNDEFINED,53747,329.97462111430247,65454,332.7000541800037,329.97462111430247,21.0,2.0,329.97462111430247,531,True,19.26405509330204,1,0
fd_declaration 59020_17,SYSTEM,Request Payment,2018-11-09 11:32:53+01:00,UNDEFINED,59018,2871.041669406516,65458,2624.572911287151,2871.041669406516,67.0,23.0,2871.041669406516,"2,283",False,-713.0445144780965,0,1
fd_declaration 36053_17,SYSTEM,Request Payment,2018-08-30 10:11:48+02:00,UNDEFINED,36051,173.1574353425273,65455,946.7242744670692,173.1574353425273,122.0,7.0,173.1574353425273,296,False,-909.0765355482685,0,1
st_step 57704_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2018-10-22 10:34:56+02:00,EMPLOYEE,57697,1051.5283450119,65456,2107.9660600882344,1051.5283450119,23.0,6.0,1051.5283450119,963,False,-586.3662733866984,0,0
fd_declaration 72184_18,SYSTEM,Payment Handled,2017-08-03 17:30:58+02:00,UNDEFINED,72181,3149.2443475884743,65455,1819.964098069701,3149.2443475884743,107.0,15.0,3149.2443475884743,"3,040",True,248.6245537569848,1,1
rv_travel permit 48065_6,STAFF MEMBER,Start trip,2018-10-09 00:00:00+02:00,EMPLOYEE,48065,332.9270553938992,65455,729.0373475778815,332.9270553938992,40.0,3.0,332.9270553938992,411,False,-396.1102921839823,0,0
fd_declaration 964_18,SYSTEM,Payment Handled,2018-04-05 17:30:52+02:00,UNDEFINED,960,1439.0300966491636,65459,1439.235938207596,1439.0300966491636,37.0,6.0,1439.0300966491636,"1,847",True,574.2096270874031,1,0
st_step 60621_0,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018-07-11 10:09:04+02:00,SUPERVISOR,60617,2259.3968977673976,65459,2109.894982791194,2259.3968977673976,144.0,13.0,2259.3968977673976,"2,237",False,-114.13135871601072,0,1
rv_travel permit 8942_6,STAFF MEMBER,Start trip,2018-01-29 00:00:00+01:00,EMPLOYEE,8942,231.66089376994705,65461,96.77948032910568,231.66089376994705,56.0,2.0,231.66089376994705,186,False,0.0,0,0
st_step 45315_0,STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018-05-01 13:30:18+02:00,ADMINISTRATION,45308,4025.6570607408858,65454,3474.435825990935,4025.6570607408858,37.0,5.0,4025.6570607408858,"2,743",False,-377.1760352207102,0,0
st_step 21635_0,STAFF MEMBER,Declaration APPROVED by ADMINISTRATION,2018-04-24 15:54:20+02:00,ADMINISTRATION,21624,47.79033953523555,65472,104.56231825751756,47.79033953523555,16.0,0.0,47.79033953523555,72,False,-13.27509431534321,0,0
st_step 61701_0,STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018-06-19 14:00:37+02:00,ADMINISTRATION,61695,56.77159889009275,65459,570.6392458571794,56.77159889009275,69.0,1.0,56.77159889009275,55,False,-356.1127566742182,0,1
st_step 24284_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018-11-07 12:15:37+01:00,EMPLOYEE,24280,64.13105829991068,65470,66.83803332049497,64.13105829991068,16.0,0.0,64.13105829991068,74,False,-0.8666359229717671,0,0
st_step 82700_0,STAFF MEMBER,Permit APPROVED by PRE_APPROVER,2017-06-19 16:43:08+02:00,PRE_APPROVER,82693,324.9033454586349,65458,616.4220683280358,324.9033454586349,45.0,0.0,324.9033454586349,348,False,-188.5933212144949,0,0
st_step 40222_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018-05-22 11:01:10+02:00,EMPLOYEE,40217,58.61453591945122,65458,1172.6932391298808,58.61453591945122,58.0,7.0,58.61453591945122,81,False,-1243.9307067350203,0,0
st_step 44023_0,STAFF MEMBER,Declaration APPROVED by SUPERVISOR,2018-08-23 08:37:36+02:00,SUPERVISOR,44013,1864.296455941388,65456,3703.686222465255,1864.296455941388,140.0,7.0,1864.296455941388,"3,301",True,57.04148501971531,1,1
st_step 27508_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2018-07-18 11:54:12+02:00,SUPERVISOR,27499,304.2570862721291,65459,526.3526494525269,304.2570862721291,66.0,6.0,304.2570862721291,510,True,83.52155309430995,1,1
rv_travel permit 78870_7,STAFF MEMBER,End trip,2017-12-05 00:00:00+01:00,EMPLOYEE,78870,48.066596481181456,65458,34.149496330641604,48.066596481181456,53.0,2.0,48.066596481181456,53,True,11.789919891610545,1,0
st_step 55093_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2018-12-11 09:27:27+01:00,SUPERVISOR,55084,2748.5115889527715,65456,1398.7584116698645,2748.5115889527715,87.0,12.0,2748.5115889527715,"2,297",True,116.06688033453156,1,1
st_step 71701_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2018-10-17 14:47:55+02:00,SUPERVISOR,71693,70.95590303119612,65458,168.11510954400975,70.95590303119612,43.0,0.0,70.95590303119612,76,False,-69.08864242511201,0,0
st_step 4793_0,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018-02-26 17:43:09+01:00,SUPERVISOR,4786,764.1212358799407,65456,801.3771399931876,764.1212358799407,43.0,2.0,764.1212358799407,526,False,-34.86484726448396,0,0
st_step 3389_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018-02-22 08:50:02+01:00,EMPLOYEE,3382,173.53476828887003,65473,0.0,173.53476828887003,105.0,2.0,173.53476828887003,127,True,173.53476828887003,1,1
st_step 68412_0,STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018-04-10 12:09:05+02:00,ADMINISTRATION,68406,911.4418335546188,65454,757.6196687084317,911.4418335546188,230.0,5.0,911.4418335546188,984,False,-118.56153932417794,0,1
