,id,resource,concept,timestamp,role,permitId,requestedAmount,permitTaskNumber,permitBudgetNumber,permitProjectNumber,permitOrganizationalEntity,permitRequestedBudget,permitActivityNumber,adjustedAmount,declarationNumber,processTime,tripTime,TotalDeclared,RequestedAmount,Overspent,travelPermitNumber,Overspent_Amount,Overspent_bool,boolProcessDelay
69705,st_step 9492_0,STAFF MEMBER,Declaration REJECTED by ADMINISTRATION,2018-03-12 12:24:40+01:00,ADMINISTRATION,9480,2290.9456628981598,UNKNOWN,592,UNKNOWN,65454,1105.3300237141552,UNKNOWN,2290.9456628981598,9483,23.0,3.0,2290.9456628981598,"1,566",True,9481,828.0173979568062,1,0
51984,st_step 60845_0,STAFF MEMBER,Declaration APPROVED by BUDGET OWNER,2018-11-09 09:32:04+01:00,BUDGET OWNER,60834,1511.941766391647,UNKNOWN,14855,UNKNOWN,65454,1604.303862764023,UNKNOWN,1511.941766391647,60837,58.0,4.0,1511.941766391647,"1,684",True,60835,524.331348914918,1,0
47796,st_step 54593_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2018-07-26 05:15:32+02:00,SUPERVISOR,54585,1143.1488169362146,427,2351,3442,65458,1634.8463294912267,UNKNOWN,1143.1488169362146,54588,104.0,3.0,1143.1488169362146,"1,215",False,54586,-254.18058273522092,0,1
27027,rv_travel permit 22054_7,STAFF MEMBER,End trip,2017-12-13 00:00:00+01:00,EMPLOYEE,22054,1452.2772317974625,UNKNOWN,10229,UNKNOWN,65460,1423.8404746614474,22056,1452.2772317974625,22058,63.0,6.0,1452.2772317974625,"1,040",False,22055,-83.7852249113921,0,1
37800,st_step 39267_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2018-05-16 11:50:00+02:00,EMPLOYEE,39256,833.1255251381328,427,565,4325,65456,334.3663698745583,UNKNOWN,833.1255251381328,39259,23.0,1.0,833.1255251381328,678,True,39257,157.28623483433773,1,0
44582,st_step 4968_0,STAFF MEMBER,Declaration REJECTED by EMPLOYEE,2018-05-23 10:43:38+02:00,EMPLOYEE,4955,328.41709425103966,427,698,4957,65458,1137.1556566582342,UNKNOWN,328.41709425103966,4959,94.0,2.0,328.41709425103966,283,False,4956,-1064.164224127927,0,1
39726,st_step 42059_0,STAFF MEMBER,Permit APPROVED by BUDGET OWNER,2018-01-29 08:46:00+01:00,BUDGET OWNER,42052,1161.6709868563892,427,994,2572,65460,1175.5948665154717,UNKNOWN,1161.6709868563892,42055,30.0,5.0,1161.6709868563892,"1,241",True,42053,272.3982733079848,1,0
42185,st_step 45916_0,STAFF MEMBER,Declaration APPROVED by BUDGET OWNER,2018-05-03 12:02:08+02:00,BUDGET OWNER,45908,783.3282946320945,UNKNOWN,2945,UNKNOWN,65472,1226.1828930359366,UNKNOWN,783.3282946320945,45911,31.0,8.0,783.3282946320945,"1,486",False,45909,-112.80770864822898,0,0
41235,st_step 44392_0,STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018-04-23 08:58:20+02:00,ADMINISTRATION,44385,999.415627956375,427,522,1253,65456,835.5065602976434,UNKNOWN,999.415627956375,44388,59.0,1.0,999.415627956375,"1,155",True,44386,346.1179663918182,1,0
38482,st_step 40134_0,STAFF MEMBER,Permit APPROVED by BUDGET OWNER,2018-06-06 09:15:12+02:00,BUDGET OWNER,40127,3144.121852074311,427,659,7951,65456,3224.81725290005,UNKNOWN,3144.121852074311,40130,59.0,9.0,3144.121852074311,"2,429",False,40128,-674.3876018652595,0,0
69453,fd_declaration 901_18,SYSTEM,Payment Handled,2018-03-19 17:30:54+01:00,UNDEFINED,897,672.0776175416586,UNKNOWN,899,UNKNOWN,65455,1033.0004098635554,900,672.0776175416586,902,55.0,2.0,672.0776175416586,814,False,898,-112.28815231654244,0,0
27925,st_step 23607_0,STAFF MEMBER,Declaration APPROVED by ADMINISTRATION,2018-06-08 22:06:23+02:00,ADMINISTRATION,23596,1034.7738481619915,427,722,23598,65456,2270.7265158016235,UNKNOWN,1034.7738481619915,23600,147.0,5.0,1034.7738481619915,"1,434",False,23597,-155.8655168779569,0,1
66856,st_step 83283_0,STAFF MEMBER,Permit APPROVED by SUPERVISOR,2017-07-20 12:00:43+02:00,SUPERVISOR,83278,1008.3284511055406,427,1644,2073,65458,1351.6467172996522,UNKNOWN,1008.3284511055406,83281,74.0,10.0,1008.3284511055406,"1,492",False,83279,-343.31826619411163,0,1
23748,st_step 17170_0,STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018-04-26 17:50:40+02:00,ADMINISTRATION,17164,710.9462558733566,427,1644,4277,65458,930.570050499231,UNKNOWN,710.9462558733566,17167,55.0,7.0,710.9462558733566,544,False,17165,-595.9402438938431,0,0
32558,st_step 31026_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018-03-22 10:59:57+01:00,EMPLOYEE,31020,381.7182999258004,UNKNOWN,14556,UNKNOWN,65464,1282.7703622214983,UNKNOWN,381.7182999258004,31023,70.0,4.0,381.7182999258004,549,False,31021,-591.6981297574794,0,1
52619,rv_travel permit 61774_7,STAFF MEMBER,End trip,2018-07-17 00:00:00+02:00,EMPLOYEE,61774,29.477529177865545,UNKNOWN,922,UNKNOWN,65458,64.7230516844904,2169,29.477529177865545,61777,32.0,0.0,29.477529177865545,34,False,61775,-57.22108605115076,0,0
34136,st_step 33766_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018-09-27 16:46:43+02:00,EMPLOYEE,33760,347.47563524142424,UNKNOWN,440,UNKNOWN,65455,464.27012243231013,9933,347.47563524142424,33763,81.0,4.0,347.47563524142424,283,False,33761,-82.26454968613228,0,1
50721,st_step 59043_0,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018-09-07 14:29:02+02:00,SUPERVISOR,59036,129.2042529290958,427,974,2699,65458,1909.9841240223022,UNKNOWN,129.2042529290958,59039,20.0,3.0,263.4164226383891,258,False,59037,-412.65234268827487,0,0
29429,fd_declaration 26181_18,SYSTEM,Payment Handled,2018-05-17 17:31:34+02:00,UNDEFINED,26179,1857.3082662833158,427,529,5258,65455,1722.680613382831,UNKNOWN,1857.3082662833158,26182,27.0,6.0,1857.3082662833158,"1,376",False,26180,-167.37371004297324,0,0
55582,st_step 66868_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2018-10-16 09:12:05+02:00,SUPERVISOR,66859,267.8223875399909,427,4932,19975,65459,208.58923493213138,UNKNOWN,267.8223875399909,66862,98.0,5.0,267.8223875399909,219,False,66860,-136.84493204330607,0,1
46815,st_step 52855_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018-06-14 10:54:59+02:00,EMPLOYEE,52851,598.3619184841244,427,1027,18996,65454,325.78878335642435,UNKNOWN,598.3619184841244,52854,168.0,12.0,598.3619184841244,660,True,52852,9.066089674001887,1,1
56347,st_step 68150_0,STAFF MEMBER,Permit APPROVED by BUDGET OWNER,2018-03-27 14:04:36+02:00,BUDGET OWNER,68145,1252.2238966711907,UNKNOWN,2945,UNKNOWN,65472,648.1547594641421,UNKNOWN,1252.2238966711907,68148,93.0,3.0,1252.2238966711907,"1,064",True,68146,16.47663021935773,1,1
48845,rv_travel permit 56178_7,STAFF MEMBER,End trip,2018-09-27 00:00:00+02:00,EMPLOYEE,56178,1241.2909169471975,427,749,750,65456,508.3100429935774,UNKNOWN,1241.2909169471975,56181,105.0,5.0,1241.2909169471975,888,True,56179,123.01081158936199,1,1
46297,st_step 52200_0,STAFF MEMBER,Declaration APPROVED by ADMINISTRATION,2018-11-15 10:30:41+01:00,ADMINISTRATION,52192,531.9834373068124,427,2976,31171,65456,321.9487802083127,UNKNOWN,531.9834373068124,52195,50.0,1.0,531.9834373068124,417,True,52193,21.687574182771755,1,0
25139,st_step 19377_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2018-10-16 08:24:23+02:00,SUPERVISOR,19368,957.7157958707311,427,2976,13761,65456,1409.579483031193,UNKNOWN,957.7157958707311,19371,65.0,5.0,957.7157958707311,"1,574",True,19369,45.02602852251209,1,1
27952,st_step 23664_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2018-04-09 16:59:49+02:00,SUPERVISOR,23653,732.3417094492713,UNKNOWN,922,UNKNOWN,65458,776.1909391658346,UNKNOWN,732.3417094492713,23656,69.0,3.0,732.3417094492713,664,True,23654,125.7333657789411,1,1
25815,st_step 20218_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2018-08-03 16:01:17+02:00,EMPLOYEE,20211,3217.111932214317,UNKNOWN,499,UNKNOWN,65460,2111.743861559572,UNKNOWN,3217.111932214317,20214,68.0,7.0,3217.111932214317,"2,829",False,20212,-80.74052569360765,0,1
31335,st_step 29328_0,STAFF MEMBER,Declaration REJECTED by EMPLOYEE,2018-06-26 12:51:30+02:00,EMPLOYEE,29315,2186.0150252637322,427,722,24243,65456,3050.9083981626122,UNKNOWN,2186.0150252637322,29318,81.0,6.0,2186.0150252637322,"2,074",False,29316,-1186.81432904868,0,1
50433,st_step 5864_0,STAFF MEMBER,Declaration REJECTED by ADMINISTRATION,2018-06-21 10:12:58+02:00,ADMINISTRATION,5853,1976.392963826596,427,962,4996,65459,1427.8709097425767,UNKNOWN,1976.392963826596,5856,125.0,12.0,1976.392963826596,"1,601",False,5854,-616.0025539971714,0,1
22353,rv_travel permit 14790_7,STAFF MEMBER,End trip,2018-02-28 00:00:00+01:00,EMPLOYEE,14790,518.5191250249013,427,1622,14792,65457,929.7807273097021,UNKNOWN,518.5191250249013,14794,108.0,82.0,518.5191250249013,930,False,14791,-39.02832123843348,0,1
66633,st_step 83028_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2018-03-02 14:43:42+01:00,SUPERVISOR,83021,956.9666314762252,26077,635,647,65458,2761.9231306677348,UNKNOWN,956.9666314762252,83024,236.0,6.0,956.9666314762252,"1,745",False,83022,-249.52425061414476,0,1
57132,rv_travel permit 69359_7,STAFF MEMBER,End trip,2018-07-28 00:00:00+02:00,EMPLOYEE,69359,2310.0848918546353,427,3559,11937,65459,1712.5896767089064,UNKNOWN,2310.0848918546353,69362,150.0,7.0,2310.0848918546353,"2,765",True,69360,388.49528922690956,1,1
25089,st_step 19229_0,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018-06-28 14:17:57+02:00,SUPERVISOR,19224,193.4217845528145,427,3832,19205,65456,238.7878909974674,UNKNOWN,193.4217845528145,19227,18.0,1.0,193.4217845528145,171,False,19225,0.0,0,0
56180,st_step 6796_0,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018-01-23 10:01:08+01:00,SUPERVISOR,6788,146.95443463385826,427,463,6790,65457,919.6613959288064,UNKNOWN,146.95443463385826,6792,83.0,5.0,146.95443463385826,275,False,6789,-283.2212740216178,0,1
27466,st_step 22892_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018-01-30 23:39:31+01:00,EMPLOYEE,22887,1134.4855492941365,427,1644,22889,65458,1672.4745787142415,UNKNOWN,1134.4855492941365,22891,29.0,7.0,1134.4855492941365,"1,123",False,22888,-178.81027802765993,0,0
42107,st_step 45849_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2018-05-17 08:54:36+02:00,SUPERVISOR,45841,897.2130902850702,427,499,4355,65460,1452.5363741703575,UNKNOWN,897.2130902850702,45844,34.0,6.0,897.2130902850702,763,False,45842,-278.68873184477275,0,0
21187,fd_declaration 12830_17,SYSTEM,Request Payment,2018-11-07 16:02:59+01:00,UNDEFINED,12827,523.1029488775475,427,871,12829,65464,603.7441221870363,UNKNOWN,523.1029488775475,12831,86.0,3.0,523.1029488775475,"1,027",True,12828,31.579730117242377,1,1
26028,st_step 20619_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2018-08-21 14:04:23+02:00,SUPERVISOR,20612,2149.527569810887,427,1644,12874,65458,1588.5898322354758,UNKNOWN,2149.527569810887,20615,72.0,6.0,2149.527569810887,"1,641",True,20613,145.39766011517895,1,1
67121,rv_travel permit 83745_7,STAFF MEMBER,End trip,2017-07-30 00:00:00+02:00,EMPLOYEE,83745,900.1660174271591,427,2351,74744,65458,730.4283758102914,UNKNOWN,900.1660174271591,83748,162.0,4.0,900.1660174271591,"1,294",True,83746,169.73764161686768,1,1
50868,fd_declaration 59291_18,SYSTEM,Payment Handled,2018-10-18 17:31:17+02:00,UNDEFINED,59289,772.9149216235747,427,1922,6210,65459,1828.14031772203,UNKNOWN,772.9149216235747,59292,80.0,7.0,772.9149216235747,"1,181",False,59290,-961.3988313844465,0,1
30950,st_step 28703_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2018-09-19 09:05:08+02:00,SUPERVISOR,28696,2766.2200480953593,427,522,14904,65456,2714.984720186076,UNKNOWN,2766.2200480953593,28699,105.0,8.0,2766.2200480953593,"2,222",True,28697,369.7422836563105,1,1
22106,st_step 1455_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018-03-03 11:42:25+01:00,EMPLOYEE,1444,1730.5259796997586,UNKNOWN,1327,UNKNOWN,65466,998.7971433024863,UNKNOWN,1730.5259796997586,1447,128.0,7.0,1730.5259796997586,"1,307",True,1445,9.2683105263186,1,1
38855,st_step 40715_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018-03-26 16:49:06+02:00,EMPLOYEE,40711,3103.331437481606,427,1922,18786,65459,2229.9405380100284,UNKNOWN,3103.331437481606,40714,94.0,10.0,3103.331437481606,"2,324",True,40712,446.00374359675425,1,1
66214,st_step 82456_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-06-19 10:21:41+02:00,EMPLOYEE,82450,902.9000071561677,427,1644,77934,65458,878.5703662447739,UNKNOWN,902.9000071561677,82453,29.0,3.0,902.9000071561677,"1,336",True,82451,24.329640911393767,1,0
54214,rv_travel permit 64545_7,STAFF MEMBER,End trip,2018-07-03 00:00:00+02:00,EMPLOYEE,64545,3032.907743011983,UNKNOWN,1755,UNKNOWN,65454,2881.297546060126,UNKNOWN,3032.907743011983,64548,57.0,2.0,3032.907743011983,"2,038",True,64546,156.25874043977365,1,0
65498,rv_travel permit 81358_7,STAFF MEMBER,End trip,2017-07-07 00:00:00+02:00,EMPLOYEE,81358,360.353849434131,427,899,2642,65455,317.3472730955813,UNKNOWN,360.353849434131,81361,40.0,3.0,360.353849434131,433,False,81359,-55.75914067456529,0,0
52632,st_step 61808_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2018-07-23 14:43:54+02:00,SUPERVISOR,61799,22.80350060818102,UNKNOWN,6671,UNKNOWN,65458,431.0005290667002,UNKNOWN,22.80350060818102,61802,34.0,6.0,22.80350060818102,32,False,61800,-333.5011963946474,0,0
48718,st_step 56016_0,STAFF MEMBER,Declaration APPROVED by ADMINISTRATION,2018-11-02 10:33:19+01:00,ADMINISTRATION,56008,202.34223650335588,427,980,1078,65469,473.98648496394526,UNKNOWN,202.34223650335588,56011,44.0,0.0,202.34223650335588,179,False,56009,-306.3393636447455,0,0
26302,fd_declaration 2098_18,SYSTEM,Payment Handled,2018-05-14 17:31:22+02:00,UNDEFINED,2096,1915.5694430752096,UNKNOWN,1644,UNKNOWN,65458,1605.387947331844,UNKNOWN,1915.5694430752096,2099,69.0,7.0,1915.5694430752096,"1,818",False,2097,-823.9688143480826,0,1
46803,st_step 52844_0,STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018-06-13 11:07:00+02:00,ADMINISTRATION,52839,32.06249057814549,427,994,4478,65460,17.36895990601433,UNKNOWN,32.06249057814549,52842,57.0,0.0,32.06249057814549,25,False,52840,0.0,0,0
37763,rv_travel permit 39151_27,SYSTEM,Send Reminder,2018-05-01 06:00:17+02:00,UNDEFINED,39151,1004.208084012802,UNKNOWN,1910,UNKNOWN,65459,1097.5187423798156,9655,1004.208084012802,39154,87.0,4.0,1004.208084012802,677,False,39152,-373.79680527507537,0,1
44687,fd_declaration 49805_18,SYSTEM,Payment Handled,2018-05-28 17:30:59+02:00,UNDEFINED,49803,61.2268213771856,7355,635,647,65458,322.24642830097685,UNKNOWN,61.2268213771856,49806,40.0,1.0,61.2268213771856,76,False,49804,-261.01960692379123,0,0
66715,st_step 83133_0,STAFF MEMBER,Permit FINAL_APPROVED by DIRECTOR,2017-07-14 16:26:25+02:00,DIRECTOR,83127,1728.8520878347408,13772,635,647,65458,2577.9714264078148,UNKNOWN,1728.8520878347408,83130,59.0,7.0,1728.8520878347408,"2,146",False,83128,-849.119338573074,0,0
28337,st_step 24350_0,STAFF MEMBER,Declaration APPROVED by ADMINISTRATION,2018-12-03 11:56:01+01:00,ADMINISTRATION,24342,204.26920887271814,UNKNOWN,5382,UNKNOWN,65461,244.22175735424898,UNKNOWN,204.26920887271814,24345,38.0,1.0,204.26920887271814,341,False,24343,-65.29426324670465,0,0
28586,st_step 24718_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2018-05-31 10:21:24+02:00,SUPERVISOR,24711,548.5581729352675,427,659,1382,65456,1077.5832053246481,UNKNOWN,548.5581729352675,24714,62.0,3.0,548.5581729352675,620,False,24712,-376.0277798346592,0,1
47390,rv_travel permit 53914_7,STAFF MEMBER,End trip,2018-05-27 00:00:00+02:00,EMPLOYEE,53914,1973.5780460687824,427,522,1253,65456,1865.1658672097049,UNKNOWN,1973.5780460687824,53917,43.0,6.0,1973.5780460687824,"2,413",True,53915,624.0530663698637,1,0
52193,st_step 61188_0,STAFF MEMBER,Permit APPROVED by BUDGET OWNER,2018-06-28 14:15:35+02:00,BUDGET OWNER,61182,582.4172618847641,427,1313,17142,65456,1614.4916639253001,UNKNOWN,582.4172618847641,61185,742.0,742.0,582.4172618847641,"1,132",False,61183,-189.3370604007007,0,1
34690,rv_travel permit 34484_7,STAFF MEMBER,End trip,2018-07-17 00:00:00+02:00,EMPLOYEE,34484,197.38254742948095,427,1021,18594,65466,660.1188643249106,UNKNOWN,197.38254742948095,34487,309.0,215.0,197.38254742948095,311,False,34485,-246.8868519294794,0,1
63851,st_step 79299_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2017-11-14 11:30:44+01:00,EMPLOYEE,79295,201.95817368577437,UNKNOWN,922,UNKNOWN,65458,261.6038519245782,UNKNOWN,201.95817368577437,79298,342.0,5.0,201.95817368577437,386,False,79296,-59.64567823880381,0,1
54734,st_step 65525_0,STAFF MEMBER,Declaration APPROVED by ADMINISTRATION,2018-08-15 13:59:06+02:00,ADMINISTRATION,65517,467.36000453234715,UNKNOWN,2351,UNKNOWN,65458,367.90746742784853,UNKNOWN,467.36000453234715,65520,73.0,2.0,467.36000453234715,417,True,65518,75.09141559632434,1,1
61394,fd_declaration 75767_18,SYSTEM,Payment Handled,2017-09-18 17:30:55+02:00,UNDEFINED,75765,2446.244381921118,UNKNOWN,2351,UNKNOWN,65458,2352.158059539536,UNKNOWN,2446.244381921118,75768,167.0,9.0,2446.244381921118,"2,600",False,75766,-4.139497248320822,0,1
58054,fd_declaration 70680_18,SYSTEM,Payment Handled,2018-12-13 17:31:08+01:00,UNDEFINED,70678,1869.747875334429,427,529,1792,65455,1489.3198168103775,UNKNOWN,1869.747875334429,70681,98.0,5.0,3016.628744221258,"1,464",False,70679,-176.2467259536552,0,1
43243,st_step 47600_0,STAFF MEMBER,Permit APPROVED by BUDGET OWNER,2018-11-07 15:44:20+01:00,BUDGET OWNER,47593,41.38827478139316,UNKNOWN,922,UNKNOWN,65458,45.676260236854006,UNKNOWN,41.38827478139316,47596,9.0,0.0,41.38827478139316,32,False,47594,-62.08241217208974,0,0
33578,st_step 32945_0,STAFF MEMBER,Permit APPROVED by BUDGET OWNER,2018-05-29 10:14:51+02:00,BUDGET OWNER,32940,487.02224697232555,427,24171,32942,65455,284.53796137460847,UNKNOWN,487.02224697232555,32944,66.0,5.0,487.02224697232555,766,True,32941,143.69063683517697,1,1
35366,fd_declaration 35387_18,SYSTEM,Payment Handled,2018-11-12 17:30:46+01:00,UNDEFINED,35385,495.2386406330604,427,24880,24881,65461,397.9865462406846,UNKNOWN,495.2386406330604,35388,56.0,4.0,495.2386406330604,506,False,35386,-140.93747875723466,0,0
20699,st_step 11874_0,STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018-11-27 10:38:05+01:00,ADMINISTRATION,11869,72.35880471683475,UNKNOWN,922,UNKNOWN,65458,97.65804916238031,5818,72.35880471683475,11872,9.0,1.0,72.35880471683475,73,False,11870,-26.762845580199155,0,0
66110,st_step 82279_0,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2017-09-28 13:25:05+02:00,SUPERVISOR,82275,52.49145822574302,UNKNOWN,475,UNKNOWN,65458,52.91937103311767,UNKNOWN,52.49145822574302,82278,11.0,0.0,52.49145822574302,57,False,82276,-39.598819363279816,0,0
58810,st_step 71911_0,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018-07-16 09:11:23+02:00,SUPERVISOR,71907,3293.3593134483817,427,1399,1400,65455,2427.374492866302,UNKNOWN,3293.3593134483817,71910,62.0,5.0,3293.3593134483817,"2,693",True,71908,865.9848205820799,1,1
30821,fd_declaration 2847_17,SYSTEM,Request Payment,2018-02-28 18:04:25+01:00,UNDEFINED,2845,142.89926792821257,427,1027,1028,65454,129.0262227306705,UNKNOWN,142.89926792821257,2848,32.0,0.0,142.89926792821257,176,True,2846,73.34402245918004,1,0
69197,rv_travel permit 8653_6,STAFF MEMBER,Start trip,2018-04-08 00:00:00+02:00,EMPLOYEE,8653,823.0944792047364,UNKNOWN,565,UNKNOWN,65456,1339.6124177600943,UNKNOWN,823.0944792047364,8656,56.0,5.0,1279.6375503369636,750,False,8654,-366.5514080725093,0,0
47288,fd_declaration 53749_17,SYSTEM,Request Payment,2018-04-24 10:26:06+02:00,UNDEFINED,53747,329.97462111430247,427,1755,7112,65454,332.7000541800037,UNKNOWN,329.97462111430247,53750,21.0,2.0,329.97462111430247,531,True,53748,19.264055093302034,1,0
32842,st_step 31689_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2018-04-19 12:43:35+02:00,EMPLOYEE,31682,985.3996113262069,UNKNOWN,2766,UNKNOWN,65471,452.29759601586045,UNKNOWN,985.3996113262069,31685,85.0,3.0,985.3996113262069,"1,160",True,31683,390.7619148362545,1,1
66945,st_step 83444_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2017-09-12 15:56:57+02:00,EMPLOYEE,83438,818.8759233486377,427,698,27037,65458,1084.0803809481542,UNKNOWN,818.8759233486377,83441,51.0,5.0,818.8759233486377,918,False,83439,-407.6539182683306,0,0
36402,st_step 37045_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2018-05-15 14:54:51+02:00,SUPERVISOR,37037,19.94068150267375,UNKNOWN,922,UNKNOWN,65458,323.615258422452,2169,19.94068150267375,37040,51.0,1.0,19.94068150267375,23,False,37038,-413.5523946424078,0,0
46111,st_step 51921_0,STAFF MEMBER,Declaration REJECTED by EMPLOYEE,2018-06-15 10:50:14+02:00,EMPLOYEE,51907,57.170744147864085,427,1755,7112,65454,133.0800216720015,UNKNOWN,57.170744147864085,51910,38.0,0.0,57.170744147864085,92,False,51908,-67.11348226053609,0,0
57353,st_step 69747_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2018-09-19 10:38:41+02:00,EMPLOYEE,69738,1829.2540379727734,UNKNOWN,565,UNKNOWN,65456,1152.7929345018933,UNKNOWN,1829.2540379727734,69741,35.0,4.0,1829.2540379727734,"1,653",False,69739,-74.14399306967675,0,0
47292,fd_declaration 53749_18,SYSTEM,Payment Handled,2018-04-26 17:30:55+02:00,UNDEFINED,53747,329.97462111430247,427,1755,7112,65454,332.7000541800037,UNKNOWN,329.97462111430247,53750,21.0,2.0,329.97462111430247,531,True,53748,19.264055093302034,1,0
50704,fd_declaration 59020_17,SYSTEM,Request Payment,2018-11-09 11:32:53+01:00,UNDEFINED,59018,2871.041669406516,UNKNOWN,1644,UNKNOWN,65458,2624.572911287151,UNKNOWN,2871.041669406516,59021,67.0,23.0,2871.041669406516,"2,283",False,59019,-713.0445144780965,0,1
