,ApplicationType,LoanGoal,RequestedAmount,Case ID,label,Activity,org:resource,Action,EventOrigin,lifecycle:transition,Accepted,Selected,FirstWithdrawalAmount,MonthlyCost,NumberOfTerms,OfferedAmount,CreditScore,timesincelastevent,timesincecasestart,timesincemidnight,event_nr,month,weekday,hour,open_cases,time:timestamp
275772,New credit,Caravan / Camper,18000.0,Application_1921084759,deviant,A_Complete,User_15,statechange,Application,complete,True,True,18000.0,337.98,60.0,18000.0,839.0,6.666666666666667e-05,2585.0915666666665,578,18,4,1,9,1588,2016-04-05 09:38:02.047
924181,New credit,Car,20000.0,Application_303866233,deviant,W_Call incomplete files,User_48,Obtained,Workflow,resume,True,True,20000.0,315.77,72.0,20000.0,960.0,149.66418333333334,45980.6075,914,30,11,1,15,2092,2016-11-08 15:14:46.571
926108,New credit,Existing loan takeover,36500.0,Application_838884307,regular,W_Call incomplete files,User_83,Created,Workflow,schedule,True,True,977.0,602.8,68.0,36500.0,0.0,0.0001333333333333,28188.51643333333,472,46,10,4,7,1939,2016-10-28 07:52:15.455
355941,New credit,Car,12500.0,Application_1657511545,deviant,W_Call after offers,User_16,Obtained,Workflow,resume,False,True,0.0,300.0,47.0,12500.0,937.0,5542.03545,7030.091566666667,526,18,5,4,8,1525,2016-05-06 08:46:28.299
621059,New credit,Home improvement,27500.0,Application_2002877311,regular,W_Validate application,User_83,Obtained,Workflow,resume,True,True,5426.19,431.76,72.0,27500.0,0.0,2765.7983833333333,18592.427966666663,515,24,7,4,8,2103,2016-07-29 08:35:00.120
613373,New credit,"Other, see explanation",6000.0,Application_77477304,deviant,W_Validate application,User_120,Obtained,Workflow,start,True,True,6000.0,517.27,12.0,6000.0,871.0,6.666666666666667e-05,2754.27455,525,31,7,5,8,2409,2016-07-16 08:45:35.214
316649,New credit,Existing loan takeover,17000.0,Application_566214233,deviant,W_Validate application,User_99,Obtained,Workflow,resume,True,True,95.0,178.6,120.0,17000.0,892.0,0.1664666666666666,11733.229166666666,640,24,4,1,10,1468,2016-04-26 10:40:39.057
250260,New credit,Home improvement,5000.0,Application_2101886140,deviant,O_Created,User_16,statechange,Offer,complete,True,False,5000.0,56.3,120.0,5000.0,0.0,0.0221833333333333,21339.028133333333,549,13,4,4,9,1545,2016-04-08 09:09:00.282
215387,Limit raise,Home improvement,10500.0,Application_1543259185,deviant,A_Validating,User_125,statechange,Application,complete,True,True,3000.0,175.0,71.0,10500.0,877.0,0.0130666666666666,8315.9928,528,19,3,4,8,1714,2016-03-18 08:48:32.075
757559,New credit,Home improvement,75000.0,Application_1465279640,regular,W_Call incomplete files,User_16,Released,Workflow,suspend,False,True,75000.0,763.67,120.0,75000.0,0.0,2.6035666666666666,42870.40845,530,53,9,4,8,2345,2016-09-23 08:50:21.836
855192,New credit,Home improvement,20000.0,Application_1701993832,deviant,W_Call incomplete files,User_90,Released,Workflow,suspend,True,True,20000.0,205.49,120.0,20000.0,842.0,0.0506166666666666,15333.360766666668,541,35,9,4,9,2267,2016-09-30 09:01:13.520
60261,New credit,Car,15500.0,Application_1380269741,deviant,W_Complete application,User_49,Deleted,Workflow,complete,False,False,14000.0,350.0,49.0,15500.0,0.0,0.00035,2287.356816666667,696,12,1,5,11,1112,2016-01-23 11:36:07.614
880050,New credit,Home improvement,25000.0,Application_1411578912,regular,A_Incomplete,User_29,statechange,Application,complete,True,True,5000.0,250.0,126.0,25000.0,898.0,1.6666666666666667e-05,19955.5332,565,72,10,0,9,2251,2016-10-10 09:25:37.274
711110,New credit,Car,5000.0,Application_1383568566,regular,A_Complete,User_49,statechange,Application,complete,True,False,5000.0,100.25,58.0,5000.0,0.0,5e-05,1046.9158333333332,808,15,8,3,13,2265,2016-08-11 13:28:44.105
555881,New credit,Remaining debt home,36000.0,Application_1681669912,deviant,W_Validate application,User_126,Released,Workflow,suspend,True,True,36000.0,268.48,180.0,36000.0,946.0,5.9661333333333335,17455.626833333332,771,25,7,1,12,2384,2016-07-12 12:51:52.192
271821,New credit,Home improvement,14250.0,Application_1959836412,regular,A_Validating,User_117,statechange,Application,complete,False,True,1119.0,252.34,68.0,15000.0,0.0,0.0011,27478.88825,787,45,4,2,13,1657,2016-04-20 13:07:32.456
1162137,New credit,Car,13800.0,Application_1596918091,deviant,W_Call incomplete files,User_93,Obtained,Workflow,start,False,True,13800.0,250.02,63.0,13800.0,648.0,6.666666666666667e-05,23124.41495,539,61,1,0,8,1477,2017-01-02 08:59:43.992
479039,New credit,Home improvement,22000.0,Application_798982140,deviant,W_Call incomplete files,User_30,Released,Workflow,suspend,True,True,22000.0,249.96,106.0,22000.0,989.0,0.1772833333333333,13714.7747,495,34,6,0,8,2057,2016-06-20 08:15:38.820
274741,New credit,Not speficied,5000.0,Application_946416512,deviant,O_Created,User_35,statechange,Offer,complete,False,True,5614.16,191.27,60.0,10000.0,651.0,0.02305,3746.8184666666666,650,14,4,1,10,1581,2016-04-05 10:50:23.300
590081,Limit raise,Car,15000.0,Application_2052177781,deviant,W_Call incomplete files,User_60,Obtained,Workflow,resume,True,True,5000.0,300.0,56.0,15000.0,0.0,1222.4352,15822.2888,482,28,7,1,8,2506,2016-07-19 08:02:21.564
1103294,New credit,Unknown,0.0,Application_1458413157,deviant,O_Created,User_44,statechange,Offer,complete,True,True,15000.0,278.38,60.0,15000.0,838.0,0.0089,14.925666666666666,505,7,11,1,8,1820,2016-11-29 08:25:53.715
945344,New credit,Unknown,0.0,Application_1170287611,regular,O_Returned,User_112,statechange,Offer,complete,False,False,5000.0,79.99,76.0,5000.0,0.0,0.32545,18735.7273,405,46,10,3,6,1977,2016-10-27 06:45:25.279
565660,New credit,Home improvement,10000.0,Application_948940399,regular,W_Call incomplete files,User_101,Created,Workflow,schedule,True,False,0.0,200.0,57.0,10000.0,0.0,0.00035,8711.59295,895,29,7,4,14,2309,2016-07-08 14:55:59.653
250295,New credit,Home improvement,5000.0,Application_2101886140,deviant,A_Incomplete,User_68,statechange,Application,complete,True,False,0.0,70.0,138.0,7000.0,0.0,3.3333333333333335e-05,77601.15576666666,651,48,5,1,10,1540,2016-05-17 10:51:07.940
277315,Limit raise,Existing loan takeover,12000.0,Application_1765107724,deviant,O_Sent (mail and online),User_18,statechange,Offer,complete,False,True,0.0,120.0,134.0,12000.0,0.0,0.3575333333333333,1695.5633833333334,784,10,4,1,13,1576,2016-04-05 13:04:31.581
272140,Limit raise,"Other, see explanation",27000.0,Application_1681429941,deviant,W_Validate application,User_119,Released,Workflow,suspend,True,True,0.0,405.0,77.0,27000.0,967.0,0.8731666666666666,20017.83393333333,630,46,4,4,10,1581,2016-04-15 10:30:29.903
192243,New credit,Home improvement,5000.0,Application_447178454,deviant,O_Accepted,User_115,statechange,Offer,complete,False,True,0.0,250.0,22.0,5000.0,1018.0,212.1817333333333,15507.320616666666,866,27,3,1,14,1690,2016-03-15 14:26:43.617
831260,New credit,"Other, see explanation",0.0,Application_551986930,regular,W_Validate application,User_131,Obtained,Workflow,start,True,False,10000.0,1273.93,8.0,10000.0,0.0,1.6666666666666667e-05,31732.301033333333,707,38,10,2,11,2252,2016-10-05 11:47:05.237
200202,New credit,Car,17000.0,Application_1214943230,deviant,W_Call after offers,User_113,Deleted,Workflow,ate_abort,True,True,17000.0,350.61,54.0,17000.0,786.0,5813.929133333333,12392.713416666667,644,19,3,2,10,1725,2016-03-16 10:44:18.221
78059,New credit,other,17000.0,Application_477844147,regular,W_Call incomplete files,User_49,Released,Workflow,suspend,False,True,11000.0,210.4,60.0,11000.0,940.0,1.7180166666666667,11198.214983333331,846,42,2,3,14,1541,2016-02-04 14:06:56.755
487884,New credit,Unknown,0.0,Application_935000237,regular,W_Call after offers,User_32,Created,Workflow,schedule,False,False,0.0,250.0,126.0,25000.0,0.0,0.0002,9.4691,1054,10,6,0,17,1814,2016-06-13 17:34:30.950
582324,New credit,"Other, see explanation",50000.0,Application_758918787,deviant,W_Call incomplete files,User_30,Created,Workflow,schedule,True,True,26000.0,800.0,72.0,50000.0,924.0,0.0001,37575.73458333333,757,29,8,0,12,2159,2016-08-01 12:37:11.753
273845,New credit,Motorcycle,10000.0,Application_1716989043,deviant,W_Validate application,User_4,Released,Workflow,suspend,True,True,10000.0,149.86,80.0,10000.0,835.0,1.0103666666666666,23401.62225,1085,37,4,0,18,1616,2016-04-18 18:05:33.111
864858,New credit,Car,5000.0,Application_224819318,deviant,W_Call incomplete files,User_48,Released,Workflow,suspend,True,True,5000.0,133.0,42.0,5000.0,964.0,5.032783333333334,18593.8827,1024,46,10,1,17,2242,2016-10-04 17:04:14.999
1010716,New credit,Home improvement,55000.0,Application_997711293,regular,W_Call after offers,User_37,Released,Workflow,suspend,True,True,3254.0,560.02,120.0,55000.0,786.0,0.5666166666666667,5606.546066666667,612,21,11,5,10,2016,2016-11-05 10:12:59.225
37078,New credit,Car,8000.0,Application_408574797,regular,W_Call after offers,User_14,Obtained,Workflow,start,True,False,6108.76,151.66,80.0,10000.0,0.0,0.0003666666666666,20.4182,560,14,1,3,9,815,2016-01-14 09:20:06.698
1003028,New credit,Home improvement,18250.0,Application_2053272389,regular,W_Call after offers,User_40,Obtained,Workflow,resume,True,False,18300.0,200.23,111.0,18300.0,0.0,0.0725333333333333,35257.76095,538,25,11,3,8,1852,2016-11-24 08:58:02.916
965080,New credit,"Other, see explanation",60000.0,Application_1291464093,deviant,O_Returned,User_119,statechange,Offer,complete,True,True,12609.39,1473.96,40.0,55000.0,971.0,0.2502666666666667,21357.19685,803,26,11,3,13,2024,2016-11-03 13:23:00.832
415672,New credit,"Other, see explanation",8000.0,Application_408317779,regular,W_Call incomplete files,User_120,Deleted,Workflow,ate_abort,True,True,0.0,101.34,120.0,9000.0,802.0,1164.1837833333334,103618.85945,857,58,8,2,14,2238,2016-08-03 14:17:15.893
316151,New credit,Car,5000.0,Application_946187831,regular,W_Call after offers,User_46,Obtained,Workflow,resume,True,False,5000.0,118.15,48.0,5000.0,0.0,5864.5067,6988.189483333334,732,21,4,4,12,1467,2016-04-22 12:12:48.263
951350,New credit,Existing loan takeover,38150.0,Application_810658733,regular,A_Validating,User_133,statechange,Application,complete,True,True,0.0,392.02,120.0,38500.0,0.0,0.0011,51607.48685,808,40,11,0,13,2193,2016-11-21 13:28:25.344
417289,New credit,Existing loan takeover,0.0,Application_1811798646,regular,O_Created,User_28,statechange,Offer,complete,False,False,0.0,200.0,35.0,6400.0,0.0,0.0245666666666666,6.4649833333333335,467,7,5,1,7,1310,2016-05-24 07:47:31.930
1067035,New credit,Existing loan takeover,22500.0,Application_1781035334,deviant,O_Accepted,User_100,statechange,Offer,complete,True,True,0.0,272.81,98.0,22500.0,1003.0,1229.9167,9877.810366666668,655,29,11,3,10,1831,2016-11-24 10:55:41.013
659031,New credit,Car,10000.0,Application_1162069774,regular,W_Complete application,User_60,Deleted,Workflow,ate_abort,True,True,5000.0,295.0,123.0,29000.0,874.0,0.0006833333333333,2673.79535,627,20,7,4,10,2096,2016-07-29 10:27:38.324
680467,New credit,Car,7500.0,Application_230399183,regular,W_Validate application,User_27,Released,Workflow,suspend,False,True,7500.0,146.09,60.0,7500.0,0.0,3.877683333333333,18692.992283333333,754,27,8,0,12,2327,2016-08-15 12:34:58.774
192017,New credit,Car,5000.0,Application_23766109,deviant,W_Validate application,User_116,Created,Workflow,schedule,False,True,5000.0,152.82,36.0,5000.0,730.0,0.0006666666666666,17083.165933333334,923,27,3,2,15,1727,2016-03-16 15:23:51.535
919375,New credit,Car,15000.0,Application_893569918,regular,O_Cancelled,User_109,statechange,Offer,complete,True,False,17500.0,179.8,120.0,17500.0,0.0,0.00015,8336.737133333334,782,38,10,2,13,2282,2016-10-12 13:02:03.547
1097400,New credit,Car,15000.0,Application_1017685010,deviant,O_Created,User_80,statechange,Offer,complete,True,True,15000.0,249.04,68.0,15000.0,948.0,0.0117666666666666,1188.29415,854,11,11,0,14,1798,2016-11-28 14:14:11.241
783774,New credit,Car,0.0,Application_1038943317,deviant,W_Call after offers,User_27,Deleted,Workflow,ate_abort,True,True,15000.0,278.38,60.0,15000.0,1073.0,13125.931683333334,20214.758433333333,724,20,9,2,12,2385,2016-09-14 12:04:47.198
231894,New credit,Remaining debt home,39500.0,Application_356722191,deviant,W_Call after offers,User_32,Released,Workflow,suspend,True,True,0.0,306.18,180.0,39500.0,957.0,0.5611166666666667,5859.858033333333,564,23,3,1,9,1666,2016-03-22 09:24:37.916
23719,New credit,Car,18000.0,Application_1830688036,regular,O_Created,User_38,statechange,Offer,complete,True,False,10326.0,349.87,58.0,18000.0,0.0,0.0196666666666666,14.232283333333331,731,7,1,5,12,565,2016-01-09 12:11:09.627
1080036,New credit,"Other, see explanation",400000.0,Application_1379879215,regular,W_Call incomplete files,User_26,Obtained,Workflow,resume,False,True,40000.0,1739.16,24.0,40000.0,0.0,1613.523,6075.6412666666665,826,25,11,5,13,1804,2016-11-26 13:46:05.480
466988,New credit,Existing loan takeover,70000.0,Application_665122636,regular,O_Cancelled,User_27,statechange,Offer,complete,True,False,0.0,522.05,180.0,70000.0,0.0,0.0023166666666666,9609.124683333332,760,25,6,1,12,1859,2016-06-14 12:40:39.677
1112393,New credit,Home improvement,50000.0,Application_596823707,regular,W_Call after offers,User_18,Released,Workflow,suspend,True,False,0.0,500.0,126.0,50000.0,0.0,2.071083333333333,1629.3678166666666,958,21,12,4,15,1761,2016-12-02 15:58:55.422
703284,New credit,other,12000.0,Application_947085123,regular,W_Call after offers,User_16,Obtained,Workflow,resume,True,False,15000.0,249.04,68.0,15000.0,0.0,6911.0585,10214.4926,529,44,8,1,8,2329,2016-08-16 08:49:28.025
77656,New credit,Existing loan takeover,20000.0,Application_1763154398,deviant,W_Call incomplete files,User_120,Deleted,Workflow,ate_abort,False,True,0.0,500.0,44.0,20000.0,774.0,2767.0837166666665,24003.840566666662,634,42,2,5,10,1728,2016-02-13 10:34:17.537
18994,New credit,Unknown,0.0,Application_669100042,deviant,W_Call after offers,User_21,Obtained,Workflow,resume,True,True,5040.0,271.94,120.0,26000.0,721.0,0.1359166666666666,5479.041366666666,702,16,1,0,11,667,2016-01-11 11:42:42.346
808956,New credit,Existing loan takeover,0.0,Application_2126285413,regular,W_Call after offers,User_61,Obtained,Workflow,resume,False,True,2000.0,320.74,120.0,31500.0,0.0,0.3049666666666666,7223.794966666666,457,16,9,0,7,2306,2016-09-12 07:37:07.632
271896,New credit,"Other, see explanation",5000.0,Application_1645687233,deviant,W_Call after offers,User_13,Obtained,Workflow,start,True,True,4016.0,199.05,44.0,7800.0,938.0,5e-05,4172.845433333333,567,15,4,0,9,1565,2016-04-04 09:27:45.558
445663,New credit,Unknown,0.0,Application_27118645,regular,O_Created,User_45,statechange,Offer,complete,True,True,0.0,299.49,44.0,12000.0,0.0,0.0257666666666666,5.585,610,7,6,3,10,1378,2016-06-02 10:10:06.968
1094799,New credit,Extra spending limit,26000.0,Application_1638189515,regular,A_Validating,User_126,statechange,Application,complete,False,False,0.0,95.0,138.0,9500.0,0.0,0.0009,14486.318566666669,650,59,12,1,10,1799,2016-12-06 10:50:29.594
236593,New credit,Remaining debt home,65000.0,Application_825859186,regular,W_Call after offers,User_71,Deleted,Workflow,complete,True,False,65000.0,503.83,180.0,65000.0,0.0,0.0002,6027.5759333333335,1202,27,3,2,20,1648,2016-03-23 20:02:12.445
924898,New credit,Home improvement,5000.0,Application_61237928,regular,W_Call after offers,User_5,Obtained,Workflow,resume,False,True,5000.0,152.82,36.0,5000.0,0.0,5342.044183333333,8700.56945,539,23,10,4,8,2247,2016-10-14 08:59:18.942
962770,New credit,Home improvement,0.0,Application_799850065,deviant,A_Complete,User_41,statechange,Application,complete,True,True,10000.0,292.56,37.0,10000.0,1127.0,3.3333333333333335e-05,3.501183333333333,663,12,10,2,11,2314,2016-10-19 11:03:23.457
749998,New credit,Car,37000.0,Application_233920391,deviant,W_Call incomplete files,User_112,Obtained,Workflow,start,True,True,37000.0,693.87,59.0,37000.0,913.0,3.3333333333333335e-05,11506.29075,883,26,8,1,14,2169,2016-08-30 14:43:25.367
217905,New credit,Home improvement,10000.0,Application_1683071807,regular,W_Validate application,User_116,Created,Workflow,schedule,True,True,10000.0,149.86,80.0,10000.0,0.0,0.0002166666666666,25262.413216666668,816,60,3,3,13,1581,2016-03-31 13:36:49.598
177130,New credit,Home improvement,30000.0,Application_1693585514,regular,W_Validate application,User_99,Obtained,Workflow,resume,True,True,0.0,300.0,126.0,30000.0,0.0,47.778533333333336,50318.09451666666,825,46,4,0,13,1558,2016-04-04 13:45:56.183
723040,New credit,Existing loan takeover,15000.0,Application_1728762018,deviant,W_Call incomplete files,User_54,Obtained,Workflow,start,False,True,3308.0,260.39,42.0,10000.0,943.0,5e-05,31361.755366666668,660,77,9,0,11,2272,2016-09-05 11:00:27.083
279385,New credit,"Other, see explanation",15000.0,Application_2109616341,deviant,W_Call after offers,User_18,Released,Workflow,suspend,True,True,3000.0,200.0,89.0,15000.0,847.0,2.1531,1641.78195,1099,20,4,1,18,1588,2016-04-05 18:19:17.996
58697,New credit,Home improvement,6000.0,Application_552484031,deviant,W_Call incomplete files,User_102,Released,Workflow,suspend,True,True,1000.0,100.0,72.0,6000.0,977.0,0.3183166666666667,65903.26168333333,490,68,3,0,8,1678,2016-03-07 08:10:42.481
212247,New credit,Motorcycle,7000.0,Application_816103910,regular,O_Sent (mail and online),User_10,statechange,Offer,complete,True,False,0.0,100.0,134.0,10000.0,0.0,5.34315,12.796466666666667,624,8,3,4,10,1652,2016-03-11 10:24:14.266
699663,New credit,Car,35000.0,Application_504178547,regular,W_Call after offers,User_18,Obtained,Workflow,resume,True,False,45000.0,831.21,60.0,45000.0,0.0,5725.678166666667,5814.52095,637,19,8,4,10,2285,2016-08-12 10:37:01.986
234893,New credit,Car,8500.0,Application_1670566220,regular,A_Pending,User_102,statechange,Application,complete,False,False,0.0,377.0,24.0,8500.0,0.0,6.666666666666667e-05,27012.299416666665,789,53,4,2,13,1575,2016-04-06 13:09:42.212
1111540,New credit,Car,10000.0,Application_1139089034,regular,W_Call after offers,User_112,Deleted,Workflow,withdraw,False,True,8000.0,149.52,63.0,8000.0,0.0,11710.946616666666,20181.03995,582,23,12,3,9,1873,2016-12-15 09:42:55.079
530151,New credit,Home improvement,12000.0,Application_286583043,deviant,A_Pending,User_102,statechange,Application,complete,True,True,12000.0,276.79,48.0,12000.0,888.0,6.666666666666667e-05,26932.97403333333,829,53,7,1,13,2382,2016-07-12 13:49:18.865
655400,New credit,Home improvement,5000.0,Application_205163550,regular,O_Created,User_26,statechange,Offer,complete,True,False,5000.0,97.4,60.0,5000.0,0.0,0.0112333333333333,24264.00803333333,784,44,8,4,13,2278,2016-08-12 13:04:24.782
326093,New credit,Home improvement,17500.0,Application_1935361548,deviant,O_Create Offer,User_16,Created,Offer,complete,True,True,0.0,175.0,127.0,17500.0,947.0,0.71405,2.63365,823,6,4,2,13,1654,2016-04-20 13:43:17.904
271355,New credit,Existing loan takeover,29700.0,Application_169449598,deviant,W_Call incomplete files,User_34,Obtained,Workflow,resume,True,True,188.0,310.64,120.0,29700.0,953.0,1.5751166666666667,17535.360083333333,840,38,4,2,14,1604,2016-04-13 14:00:56.036
266518,New credit,Car,8000.0,Application_1735228186,deviant,A_Complete,User_37,statechange,Application,complete,True,True,8000.0,222.31,40.0,8000.0,921.0,0.0002,5.8242666666666665,980,12,3,2,16,1623,2016-03-30 16:20:40.014
371556,New credit,Existing loan takeover,8200.0,Application_1852526721,regular,O_Create Offer,User_46,Created,Offer,complete,True,False,4520.0,338.28,26.0,8200.0,0.0,8.895866666666667,231.71466666666663,1050,16,5,4,17,1523,2016-05-06 17:30:20.229
104920,New credit,Existing loan takeover,16750.0,Application_206577377,regular,W_Validate application,User_120,Released,Workflow,suspend,False,False,0.0,300.0,64.0,16800.0,0.0,7.191016666666667,24348.64955,630,39,2,0,10,1787,2016-02-22 10:30:21.621
470316,Limit raise,Car,12500.0,Application_625329470,deviant,W_Validate application,User_116,Released,Workflow,suspend,True,True,1000.0,130.0,127.0,12500.0,0.0,8.577883333333334,19831.986516666668,739,28,6,2,12,2003,2016-06-22 12:19:02.293
1140408,New credit,Unknown,0.0,Application_399569642,regular,W_Call after offers,User_54,Obtained,Workflow,start,True,False,5346.0,189.08,60.0,10000.0,0.0,8.333333333333333e-05,5.151033333333333,927,11,12,4,15,1791,2016-12-09 15:27:20.983
340805,Limit raise,Car,11000.0,Application_1888125180,deviant,W_Validate application,User_116,Released,Workflow,suspend,True,True,0.0,110.0,134.0,11000.0,907.0,6.252883333333333,18833.507233333334,612,26,5,0,10,1541,2016-05-09 10:12:39.711
570080,New credit,Home improvement,30000.0,Application_348375330,regular,O_Returned,User_113,statechange,Offer,complete,False,False,7033.17,343.53,104.0,30000.0,0.0,0.13255,13125.608866666667,640,27,7,2,10,2401,2016-07-13 10:40:23.155
603770,New credit,Home improvement,22000.0,Application_1170655120,deviant,W_Call incomplete files,User_39,Obtained,Workflow,resume,True,True,22000.0,347.35,72.0,22000.0,896.0,1049.89885,11449.258583333334,466,31,7,2,7,2503,2016-07-20 07:46:57.260
1152051,New credit,Existing loan takeover,7500.0,Application_1231420166,deviant,W_Call after offers,User_4,Released,Workflow,suspend,False,True,8911.0,295.81,100.0,25000.0,641.0,1.001,1153.2387833333332,705,25,12,2,11,1859,2016-12-14 11:45:28.769
876639,New credit,Not speficied,20000.0,Application_1905365934,regular,W_Call after offers,User_53,Obtained,Workflow,start,True,True,20000.0,492.25,44.0,20000.0,945.0,3.3333333333333335e-05,2463.0583333333334,462,18,9,1,7,2413,2016-09-27 07:42:18.270
1109281,New credit,Car,20000.0,Application_654470447,deviant,W_Call incomplete files,User_61,Obtained,Workflow,resume,True,True,16312.0,345.59,65.0,20000.0,853.0,112.08151666666669,10015.9536,860,26,12,2,14,1827,2016-12-07 14:20:00.643
253254,New credit,Car,10000.0,Application_1280349654,regular,W_Validate application,User_113,Created,Workflow,schedule,True,True,12000.0,150.0,100.0,12000.0,1010.0,0.0003833333333333,20261.36433333333,842,33,4,4,14,1533,2016-04-08 14:02:13.246
199347,New credit,Car,5000.0,Application_1911743026,deviant,O_Created,User_97,statechange,Offer,complete,True,True,0.0,50.0,138.0,5000.0,1039.0,0.0227833333333333,1062.128,667,10,3,1,11,1673,2016-03-08 11:07:11.993
428054,New credit,Existing loan takeover,50000.0,Application_657686177,regular,O_Sent (mail and online),User_71,statechange,Offer,complete,True,False,10190.0,538.92,110.0,49300.0,0.0,0.2109166666666666,1778.7163833333334,898,19,5,5,14,1303,2016-05-28 14:58:56.010
202075,New credit,Home improvement,10000.0,Application_1790562572,deviant,W_Validate application,User_99,Deleted,Workflow,complete,True,True,10000.0,191.27,60.0,10000.0,806.0,7.239233333333333,14495.668916666667,910,30,3,4,15,1745,2016-03-18 15:10:38.414
427479,New credit,Car,10000.0,Application_1852468311,deviant,O_Sent (mail and online),User_36,statechange,Offer,complete,True,True,10000.0,150.0,80.0,10000.0,1124.0,0.3551833333333333,1408.4676833333333,1121,16,5,4,18,1276,2016-05-27 18:41:36.935
1093769,New credit,Car,11000.0,Application_1084818261,regular,A_Cancelled,User_28,statechange,Application,complete,True,False,4600.0,222.33,50.0,10000.0,0.0,14729.637916666668,38846.78781666666,1084,23,12,3,18,1584,2016-12-22 18:04:50.901
467234,New credit,Not speficied,30000.0,Application_891304388,regular,W_Call incomplete files,User_87,Released,Workflow,suspend,False,True,29000.0,295.29,120.0,29000.0,752.0,1.9754666666666667,59198.63246666667,580,46,7,1,9,2493,2016-07-19 09:40:43.755
381510,New credit,Unknown,0.0,Application_1009342776,regular,O_Created,User_32,statechange,Offer,complete,True,False,12704.0,448.17,36.0,15000.0,0.0,0.0305166666666666,25.6953,953,15,5,1,15,1536,2016-05-10 15:53:19.380
593086,New credit,Car,8000.0,Application_1097779964,regular,O_Sent (mail and online),User_85,statechange,Offer,complete,False,False,0.0,300.0,29.0,8000.0,0.0,3.3333333333333335e-05,2551.397633333333,876,17,7,6,14,2355,2016-07-10 14:36:35.642
369913,Limit raise,"Other, see explanation",32000.0,Application_1081695790,regular,O_Sent (mail and online),User_18,statechange,Offer,complete,False,True,17000.0,450.0,83.0,32000.0,0.0,0.3646333333333333,3.144283333333333,476,8,5,4,7,1528,2016-05-06 07:56:53.363
110689,New credit,Car,15000.0,Application_313746063,regular,O_Created,User_35,statechange,Offer,complete,False,True,15000.0,450.0,36.0,15000.0,967.0,0.0303666666666666,2551.2049,934,11,2,1,15,1702,2016-02-09 15:34:06.929
1147312,Limit raise,Home improvement,10000.0,Application_696705115,deviant,W_Validate application,User_131,Released,Workflow,suspend,True,True,5000.0,100.0,134.0,10000.0,0.0,0.3306666666666666,13216.594083333332,1090,37,12,2,18,1935,2016-12-21 18:10:31.016
639859,New credit,"Other, see explanation",20000.0,Application_1206558139,regular,A_Complete,User_10,statechange,Application,complete,True,False,20000.0,350.38,64.0,20000.0,0.0,3.3333333333333335e-05,5192.9777,545,21,7,0,9,2102,2016-07-25 09:05:36.158
